Author,File,WordsByAuthorByFile
Falk Sippach,arquillian-headless.xml,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Falk Sippach,DoagJsonMapperSpec.groovy,"[[""INTERMEDIATE"",""STATE"",""REFACTORING"",""MULTITENANT"",""DATA"",""PROVIDER\nFIXED"",""TESTS\nREFACTORING"",""DATAPROVIDER\nREFACTORING"",""RAW"",""DATA"",""RESOURCE"",""MANAGEMENT\nJAVALAND"",""SPEAKER"",""INFORMATION"",""ADDED\n""]]"
Dirk Mahler,2.png,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nMERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Gerd Aschemann,javaland-2015.raw,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
Dirk Mahler,5267_1.jpg,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Dirk Mahler,SpeakerImageResource.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Christofer Dutz,ConferenceServiceImpl.java,"[["""",""REMOVED"",""BI"",""DIRECTIONAL"",""PROPERTIES\n"",""MOVED"",""METADATA"",""PROPERTIES"",""BACK"",""CONFERENCE\n"",""FINE"",""TUNED"",""MODEL"",""CLASSES\n"",""FINE"",""TUNED"",""SERIALIZATION"",""SERIALIZE"",""JAVA"",""LOCALDATETIME"",""OBJECTS"",""AS"",""ACTIONSCRIPT"",""DATE"",""OBJECTS\n"",""COMMENTED"",""COMMENTED"",""METHODS\n"",""ADDED"",""LITTLE"",""INLINE"",""DOCUMENTATION\n"",""MAJOR"",""REFACTORING\nUPDATED"",""MODEL"",""CORRECTLY"",""LINK"",""REDUNDANT"",""INSTANCES\n"",""UPDATED"",""LANGUAGE"",""CONTAIN"",""WHAT"",""WAS"",""ID"",""PREVIOUSLY"",""NEW"",""FIELD"",""CODE"",""USE"",""NUMERIC"",""ID"",""NOW"",""ON.\n"",""UPDATED"",""RESOURCESERVICE"",""STRUCTURE"",""IMAGE"",""RESOURCES"",""DIFFERENTLY"",""SO"",""S"",""POSSIBLE"",""USE"",""DIFFERENT"",""IMAGES"",""EACH"",""CONFERENCE.\n"",""ADDED"",""CRUDSERVICE"",""INTERFACHE\n"",""ADDED"",""INITIAL"",""CONFERENCESERVICE"",""INTERFACE\n"",""ADDED"",""INITIAL"",""CONFERENCESERVICEIMPL\n"",""ADDED"",""INITIAL"",""SUPPORT"",""BLAZEDS\n"",""MADE"",""FLEX"",""APPLICATION"",""USE"",""STYLES"",""SENT"",""SERVER"",""OK"","".."",""CURRENTLY"",""I"",""JUST"",""USE"",""DARK"",""STYLE"",""COLOR"",""TITLES"",""\n"",""MADE"",""RESOURCESERVICEIMPL"",""CONFERENCESERVICEIMPL"",""LITTLE"",""SAFER"",""AGAINST"",""NPES\n"",""ADDED"",""LOCATION"",""LOCATION"",""MAP"",""SPEAKER"",""IMAGES"",""RESOURCES"",""OBJECT\n"",""ADDED"",""ABILITY"",""READ"",""STYLE"",""INFORMATION"",""GIVEN"",""CONFERENCE"",""CONFERENCESERVICE\n"",""EXTENDED"",""CONFERENCE"",""REST"",""CONTROLLER"",""GENERATE"",""STYLES.CSS"",""RESOURCES"",""FLY\n"",""ADDED"",""SUPPORT"",""SCHED"",""CONFERENCES\n"",""CHANGED"",""CONFERENCE"",""NUMERIC"",""ID\n"",""CHANGED"",""SPEAKER"",""IMPORT"",""INITIALIZE"",""EMAIL"",""FIELD"",""GENERATE"",""NUMERIC"",""ID"",""INSTEAD"",""STRING"",""ONE.\n"",""MADE"",""CONFERENCESERVICEIMPL"",""SAFE"",""NULLPOINTEREXCEPTIONS\n"",""MADE"",""RESOURCESERVICE"",""USE"",""SPEAKERIMAGESERVICE"",""PROVIDING"",""SPEAKER"",""IMAGES\n""]]"
Falk Sippach,YamlDateTimeConstructor.java,"[[""BIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS\n""]]"
Gerd Aschemann,WhenLoginPage.java,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
Gerd Aschemann,level0-whitebox-architecture.puml,"[[""RENAMED"",""FORMES"",""DOAG"",""\nMERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\nADD"",""GENERIC"",""ARCHITECTURE"",""DOCUMENTATION\n""]]"
Gerd Aschemann,ConferencesConfigurationTests.groovy,"[[""MERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\n""]]"
Falk Sippach,CacheManifestFilter.groovy,"[[""REFACTORING"",""PACKAGE"",""STRUCTURE\nMERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Niko Köbler,TalkService.java,"[[""ADD"",""TALKSERVICE"",""STUB\nHAVE"",""TALKPROVIDER"",""DELIVERING"",""TALKS"",""DEMO"",""TALKS"",""NOW"",""LOADED"",""STATIC"",""FILE\n""]]"
Falk Sippach,UserFilters.java,"[[""REDESIGNED"",""INTERNAL"",""DATA"",""MODEL\nNEW"",""UPDATED"",""REST"",""SERVICES"",""CONFERENCE"",""METADATA"",""TALKS"",""V2"",""\nREST"",""SERVICE"",""USER"",""FILTERS"",""ADDED\nRENAMED"",""ROOM"",""LOCATION\nMERGE"",""REQUEST"",""17"",""DUKECON/METADATA\n\nMETADATAMERGE"",""REQUEST"",""26"",""DUKECON/METADATA\n\nRENAMED"",""ROOM"",""LOCATION""]]"
Gerd Aschemann,HerbstcampusDataProvider.groovy,"[[""MERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\n""]]"
Falk Sippach,JavalandDataProviderHealthIndicator.groovy,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\nBIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS\nBIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS"",""ADDED"",""INITIAL"",""WEBRESOURCEDATAPROVIDER"",""CONFIGURED"",""BEANDEFINITIONREGISTRY"",""IT\n""]]"
Gerd Aschemann,SchedDataProvider.groovy,"[[""OMIT"",""SCHED"",""CONFERENCES"",""LOADING"",""\nMERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\n""]]"
Falk Sippach,selenium.bat,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Gerd Aschemann,AbstractStage.java,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nMERGE"",""REQUEST"",""32"",""AHUS1/AHUS1"",""GUITEST\n\nPROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN""]]"
Falk Sippach,TalkProvider.groovy,"[[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""METADATA\nMERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER\nCACHEINVALIDIERUNG"",""DOAG"",""TALKS"",""KONFIGURIERBAR\n\nHTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER/ISSUES/7\nTESTS"",""REFACTORING"",""TALK"",""CACHE"",""INVALIDATION\nMERGE"",""REQUEST"",""15"",""DUKECON/METADATA\n\nMETADATAMERGE"",""REQUEST"",""10"",""DUKECON/TALKCACHEINVALIDIERUNG\n\nTALK"",""CACHE"",""INVALIDIERUNGMERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\nMERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n\nCONFLICTS:\n\tIMPL/SRC/TEST/JAVA/ORG/DUKECON/INTEGRATION/DUKECONSERVERAPPLICATIONSPEC.GROOVY\n""]]"
Falk Sippach,javaland-2016-testdata.raw,"[[""MERGE"",""REQUEST"",""17"",""DUKECON/METADATA\n\nMETADATAMERGE"",""REQUEST"",""18"",""DUKECON/METADATA\n\nFIXED"",""MISSING"",""TRACK"",""INFORMATION"",""TALK"",""ADDED"",""SPEAKER"",""IDMERGE"",""REQUEST"",""20"",""DUKECON/METADATA\n\nADDED"",""SPEAKER"",""REST"",""SERVICE"",""MOVED"",""ALL"",""CURRENT"",""REST"",""SERVICES"",""UNDER"",""CONFERENCEMERGE"",""REQUEST"",""21"",""DUKECON/METADATA\n\nADDED"",""TALK"",""LIST"",""SPEAKERMERGE"",""REQUEST"",""19"",""DUKECON/METADATA\n\nCHANGED"",""I18N"",""MESSAGE"",""KEY"",""LANGUAGE"",""STRINGMERGED\n""]]"
Gerd Aschemann,NoAuthPreferencesService.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nMAKE"",""ANNA"",""HAPPY:"",""RENAME"",""NOAUTHPREFERENCESSERVICE"",""CORRECT"",""NAME\n""]]"
Christofer Dutz,9.jpg,"[["""",""UPDATED"",""LANGUAGE"",""CONTAIN"",""WHAT"",""WAS"",""ID"",""PREVIOUSLY"",""NEW"",""FIELD"",""CODE"",""USE"",""NUMERIC"",""ID"",""NOW"",""ON.\n"",""UPDATED"",""RESOURCESERVICE"",""STRUCTURE"",""IMAGE"",""RESOURCES"",""DIFFERENTLY"",""SO"",""S"",""POSSIBLE"",""USE"",""DIFFERENT"",""IMAGES"",""EACH"",""CONFERENCE.\n"",""IMPLEMENTED"",""FLEX"",""RESOURCESERVICE"",""THAT"",""LOADS"",""CACHES"",""IMAGE"",""RESOURCES"",""LOCATION"",""LANGUAGES"",""STREAMS\n"",""IMPLEMENTED"",""WORKING"",""JAVA"",""RESOURCESERVICE"",""WHICH"",""PROVIDES"",""IMAGE"",""RESOURCES"",""BY"",""SCANNING"",""WAR"",""CONTENT\n"",""ADDED"",""IMAGE"",""RESOURCES"",""STREAMS"",""LANGUAGES.\n\nTHE"",""SERVER"",""SIDE"",""INTERMEDIATE"",""SOLUTION"",""UNTIL"",""GENERIC"",""WAY"",""HANDLE"",""PERSISTENCE"",""IMAGE"",""DATA"",""STORED"",""DB"",""WHATSOEVER"",""\n"",""UPDATED"",""DIRECTORIES"",""EXTERNAL"",""IDS"",""ADDED"",""IMAGE"",""RESOURCES"",""JAVALAND"",""2017\n"",""UPDATED"",""DIRECTORIES"",""EXTERNAL"",""IDS"",""ADDED"",""IMAGE"",""RESOURCES"",""JAVALAND"",""2017\n""]]"
Falk Sippach,5270_1.jpg,"[[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
Gerd Aschemann,Filters.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
Falk Sippach,ContextUrl.java,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Falk Sippach,Language.java,"[[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""METADATA\nREDESIGNED"",""INTERNAL"",""DATA"",""MODEL\nNEW"",""UPDATED"",""REST"",""SERVICES"",""CONFERENCE"",""METADATA"",""TALKS"",""V2"",""\nMERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""METADATA\nCHANGED"",""I18N"",""MESSAGE"",""KEY"",""LANGUAGE"",""STRING\nMETADATA"",""EXTRACTION\nADDED"",""ICONS"",""METADATA\nMERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\nMERGE"",""REQUEST"",""15"",""DUKECON/METADATA\n\nMETADATAMERGE"",""REQUEST"",""17"",""DUKECON/METADATA\n\nMETADATAMERGE"",""REQUEST"",""19"",""DUKECON/METADATA\n\nCHANGED"",""I18N"",""MESSAGE"",""KEY"",""LANGUAGE"",""STRING""]]"
Falk Sippach,ArquillianRule.java,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
annam002,JavalandDataExtractorSpec.groovy,"[[""MERGE"",""DEVELOP"",""FEATURE/MODULARIZE\nCREATE"",""INTERFACE"",""PROVIDING"",""CONFERENCE"",""DATA\n""]]"
Falk Sippach,5289_1.jpg,"[[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
Falk Sippach,manual_rest_doc.adoc,"[[""ADDED"",""SWAGGER2MARKUP\n""]]"
Falk Sippach,5138_1.jpg,"[[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
Dirk Mahler,jl2016.properties,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Dirk Mahler,ConferenceDetailResource.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Gerd Aschemann,SliceEventHelper.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
Dirk Mahler,Conference.java,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Gerd Aschemann,HeiseMetaDataMapper.groovy,"[[""MERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\n""]]"
Stephanie Peters,styles.ftl,"[[""ADD"",""STYLES"",""STYLES.FTL\n""]]"
Falk Sippach,5511_1.jpg,"[[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
Falk Sippach,dukecon.raml,"[[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n""]]"
Christofer Dutz,Identifyable.java,"[["""",""MAJOR"",""REFACTORING\n""]]"
Dirk Mahler,structure.adoc,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n"",""ADDED"",""BASIC"",""JQA"",""RULES"",""VISUALIZING"",""SPRING"",""COMPONENTS"",""DEPENDENCIES\n""]]"
Dirk Mahler,Language.java,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Falk Sippach,5196_1.jpg,"[[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
Gerd Aschemann,twitterhandles.csv,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nMERGE"",""DEVELOP"",""FEATURE/TWITTER\nADDED"",""TWITTER"",""HANDLES\nADDED"",""TWITTER"",""HANDLES\n""]]"
Dirk Mahler,5205_1.jpg,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Gerd Aschemann,StartPage.java,"[[""MERGE"",""FEATURE/TWITTER"",""DEVELOP\nMERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nMERGE"",""REQUEST"",""32"",""AHUS1/AHUS1"",""GUITEST\n\nPROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN""]]"
Falk Sippach,application-testing.properties,"[[""REFACTORING"",""META"",""DATA"",""EXTRACTION\nMERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""METADATA\nMERGE"",""REQUEST"",""15"",""DUKECON/METADATA\n\nMETADATA""]]"
Dirk Mahler,ConferenceServiceImpl.java,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Falk Sippach,DetailPageIT.java,"[[""CALCULATED"",""NUMBEROFFAVOURITES\n""]]"
Gerd Aschemann,application-postgresql.properties,"[[""STARTED"",""POSTGRESQL"",""DEVELOPMENT\nDEFAULT"",""PG"",""HOST"",""POSTGRES"","">"",""ADD"",""LOCAL"",""PROFLE\nREPLACED"",""POSTGRESQL"",""PARAMETERS"",""BY"",""PLACEHOLDERS"",""MAKE"",""CONFIGURATION"",""EASIER\nMERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
Falk Sippach,HeiseSpeakerMapper.groovy,"[[""BIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS\nADDED"",""FIRST"",""LASTNAME"",""CLEANED"",""UP"",""TWITTER"",""HANDLES\nREFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
Falk Sippach,5187_1.jpg,"[[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
Gerd Aschemann,HerbstcampusCsvInput.groovy,"[[""ENSURE"",""UTF"",""8"",""DATA"",""ARE"",""READ"",""RIGHT"",""ENCODING\n""]]"
Falk Sippach,javaland-2017.raw,"[[""BIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS\nCALCULATED"",""NUMBEROFFAVOURITES\nSWITCHED"",""INIT.JSON"",""REST/CONFERENCES"",""TALKPROVIDER"",""CONFIGURATION"",""DATA\n""]]"
Alexander Schwartz,ContextUrl.java,"[[""PROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN\nMERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""]]"
Falk Sippach,Preference.groovy,"[[""MISSING"",""RENAMINGS"",""ROOM"",""TALK"",""FIXED\nMISSING"",""RENAMINGS"",""ROOM"",""TALK"",""FIXED\nREFACTORING"",""PACKAGE"",""STRUCTURE\nREFACTORING"",""PACKAGE"",""STRUCTURE\nFINISHED"",""POSTGRESQL"",""CONFIGURATION\nRENAMING"",""COLUMNS"",""TABLES\nFLYWAY"",""CORRECTIONS\n""]]"
Dirk Mahler,index.html,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Falk Sippach,ServletCustomizer.groovy,"[[""REFACTORING"",""PACKAGE"",""STRUCTURE\n""]]"
Dirk Mahler,ConferencesResource.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Alexander Schwartz,.gitattributes,"[[""ADDING"",""MAVEN"",""WRAPPER"",""MAKE"",""ENABLE"",""BUILD"",""DUKECON"",""INFRA\nMERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""]]"
Falk Sippach,ResourceWrapperTests.java,"[[""FIXED"",""TESTS\nREFACTORING"",""RAW"",""DATA"",""RESOURCE"",""MANAGEMENT\n""]]"
Falk Sippach,JavalandDataExtractor.groovy,"[[""REDESIGNED"",""INTERNAL"",""DATA"",""MODEL\nNEW"",""UPDATED"",""REST"",""SERVICES"",""CONFERENCE"",""METADATA"",""TALKS"",""V2"",""\nFIXED"",""MISSING"",""TRACK"",""INFORMATION"",""TALK"",""ADDED"",""SPEAKER"",""ID\nFIXED"",""MISSING"",""TALK"",""TYPE"",""ID\nCALCULATING"",""PARTITION"",""EVENTS"",""CLOCK"",""SLICES"",""SERVER"",""SIDE"",""EVENT"",""SLICES"",""SLICEDEVENTS"",""AS"",""REST"",""SERVICE\nMERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\nFIXED"",""PROVIDING"",""UNIQUE"",""ID\nFIXED"",""PROVIDING"",""UNIQUE"",""ID\nADDED"",""ICONS"",""METADATA\nMERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\nRENAMED"",""TALKTYPE"",""EVENTTYPE\nRENAMED"",""ROOM"",""LOCATION\nRENAMED"",""TALK"",""EVENT\nADDED"",""LANGUAGES"",""ROOMS\nADDED"",""TALK"",""LIST"",""SPEAKER\nBUGFIX"",""TALKS"",""WITHOUT"",""SPEAKER\nCONFERENCE"",""METADATA"",""CROSSLINKED\nNEW"",""TESTDATA"",""COMMUNITY"",""EVENTS\nMOVED"",""TRACKS"",""ROOMS"",""CONFERENCE"",""METADATA"",""KEEP"",""ALL"",""METADATA"",""AT"",""ONE"",""PLACE\nADDED"",""SPEAKER"",""REST"",""SERVICE"",""MOVED"",""ALL"",""CURRENT"",""REST"",""SERVICES"",""UNDER"",""CONFERENCE\nREFACTORING"",""PACKAGE"",""STRUCTURE\nFILTER"",""EVENTS"",""EMPTY"",""DURATION\nREPLACED"",""\\R\\N"",""\\N\nFILTER"",""EVENTS"",""EMPTY"",""DURATION\nREPLACED"",""\\R\\N"",""\\N\nBIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS\nADDED"",""FIRST"",""LASTNAME"",""CLEANED"",""UP"",""TWITTER"",""HANDLES\nIGNORED"",""JAVALANDDATAEXTRACTOR"",""TEST\nINTERMEDIATE"",""STATE"",""READING"",""CONFERENCE"",""RESOURCES"",""WORKING"",""JAVALAND"",""2016"",""2017\nMERGE"",""REQUEST"",""17"",""DUKECON/METADATA\n\nMETADATAMERGE"",""REQUEST"",""18"",""DUKECON/METADATA\n\nFIXED"",""MISSING"",""TRACK"",""INFORMATION"",""TALK"",""ADDED"",""SPEAKER"",""IDMERGE"",""REQUEST"",""26"",""DUKECON/METADATA\n\nRENAMED"",""ROOM"",""LOCATIONMERGE"",""REQUEST"",""25"",""DUKECON/METADATA\n\nADDED"",""CONFERENCE"",""ID"",""RESOURCE"",""PATHMERGE"",""REQUEST"",""23"",""DUKECON/METADATA\n\nBUGFIX"",""TALKS"",""WITHOUT"",""SPEAKER"",""CONFERENCE"",""METADATA"",""CROSSLINKED"",""NEW"",""TESTDATA"",""COMMUNITY"",""EVENTSMERGE"",""REQUEST"",""20"",""DUKECON/METADATA\n\nADDED"",""SPEAKER"",""REST"",""SERVICE"",""MOVED"",""ALL"",""CURRENT"",""REST"",""SERVICES"",""UNDER"",""CONFERENCEMERGE"",""REQUEST"",""21"",""DUKECON/METADATA\n\nADDED"",""TALK"",""LIST"",""SPEAKERMERGE"",""REQUEST"",""19"",""DUKECON/METADATA\n\nCHANGED"",""I18N"",""MESSAGE"",""KEY"",""LANGUAGE"",""STRINGMERGED\n""]]"
Dirk Mahler,9.jpg,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nMERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Dirk Mahler,jfs-2016-final-finished-conf.raw,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Falk Sippach,5227_1.jpg,"[[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
Dirk Mahler,5165_1.jpg,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Dirk Mahler,5214_1.jpg,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Falk Sippach,EventProviderSpec.groovy,"[[""REFACTORING"",""PACKAGE"",""STRUCTURE\nMERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Dirk Mahler,HeiseDataProvider.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Alexander Schwartz,arquillian-headless.xml,"[[""PROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN\nMERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\nMAKE"",""FIREFOX"",""GUI"",""TESTING"",""DEFAULT\nMERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n""]]"
Dirk Mahler,ConferencesConfigurationService.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Alexander Schwartz,JavalandDataProviderHealthIndicator.groovy,"[[""ADDING"",""HYSTRIX"",""AS"",""CIRCUIT"",""BREAKER"",""WHEN"",""CALLING"",""DOAG"",""STORING"",""LATEST"",""SUCCESSFUL"",""RESPONSE"",""DISK"",""CLEANUP"",""TALKOLD.\nADDED"",""HEALTH"",""CHECK"",""SPRING"",""BOOT"",""STYLE\nMERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""]]"
Alexander Schwartz,UserFilters.java,"[[""MERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""]]"
Gerd Aschemann,FiltersService.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
Falk Sippach,CorsFilter.groovy,"[[""ADDED"",""CORS"",""FILTER\n""]]"
